Keyword,Search Intent,Estimated Difficulty,Recommended Content Type,Stage,Notes
why does my dog's breath smell so bad,Informational,Low,Blog,Consideration,Published /blog/why-does-my-dogs-breath-smell-so-bad May 2026
when should I take my dog to the vet urgently,Informational,Low,Blog,Awareness,Triage + emergency referral
when should I take my cat to the vet urgently,Informational,Low,Blog,Awareness,Subtle signs in cats
how much does a vet consultation cost Perth,Informational,Medium,Blog,Consideration,Honesty no invented prices
do I need an appointment to see a vet,Informational,Low,Blog,Awareness,Vetstoria + phone
how long does a vet appointment take,Informational,Low,Blog,Awareness,Unhurried consult positioning
can I visit a vet on Saturday in Perth southern suburbs,Informational,Low,Blog,Decision,YB Vet Saturday hours
is my pet too old for surgery,Informational,Low,Blog,Consideration,Risk conversation not fear
what questions should I ask my vet,Informational,Low,Blog,Awareness,Empower owners without jargon
how do I give my cat a pill,Informational,Low,Blog,Adjacent,Practical home care
how do I cut my dogs nails safely,Informational,Low,Blog,Adjacent,Home care gateway
what human foods are toxic to dogs,Informational,Low,Blog,Adjacent,Poison awareness
what plants are toxic to cats,Informational,Low,Blog,Adjacent,Poison awareness
why is my cat not eating,Informational,Medium,Blog,Consideration,When same day matters
why is my dog vomiting,Informational,Medium,Blog,Consideration,Pattern vs acute
should I get pet insurance before a puppy,Informational,Medium,Blog,Consideration,Neutral framing
how often worming dog Australia,Informational,Low,Blog,Awareness,Product and life stage nuance
tick paralysis dogs Australia,Informational,Medium,Blog,Awareness,Geography where relevant
how do I transport a cat in a car,Informational,Low,Blog,Consideration,Stress reduction
my dog hates the vet what can I do,Informational,Low,Blog,Consideration,Desensitisation basics
my cat foams at the mouth in carrier is that normal,Informational,Low,Blog,Consideration,Stress vs true hypersalivation
