Keyword,Search Intent,Estimated Difficulty,Recommended Content Type,Stage,Notes
vet clinic Yangebup,Commercial,Low,Service Page,Consideration,PRIMARY suburb match
veterinarian Yangebup WA,Commercial,Low,Service Page,Consideration,PRIMARY
dog vet Yangebup,Commercial,Low,Service Page,Consideration,PRIMARY
cat vet Yangebup,Commercial,Low,Service Page,Consideration,PRIMARY
pet vaccinations Yangebup,Commercial,Low,Service Page,Consideration,PRIMARY core service
desexing vet Yangebup,Commercial,Medium,Service Page,Consideration,PRIMARY
dental vet Yangebup,Commercial,Medium,Service Page,Consideration,PRIMARY
pet dental Yangebup,Commercial,Medium,Service Page,Consideration,Cluster for /services hub May 2026
dog teeth cleaning Yangebup,Commercial,Medium,Service Page,Consideration,Pet dental cluster
vet clinic Beeliar,Commercial,Low,Service Page,Consideration,Service area Beeliar
vet clinic Success Perth,Commercial,Low,Service Page,Consideration,Service area Success
vet Aubin Grove,Commercial,Low,Service Page,Consideration,Service area Aubin Grove
vet Bibra Lake,Commercial,Low,Service Page,Consideration,Service area Bibra Lake
emergency vet vs regular vet when to go,Informational,Low,Blog,Awareness,Trust + triage content
book vet appointment online Perth,Commercial,Medium,Service Page,Decision,Vetstoria angle
local independent vet southern suburbs Perth,Commercial,Low,Blog,Consideration,Brand story
puppy vaccinations southern suburbs Perth,Commercial,Medium,Service Page,Consideration,Geo + service
cat vaccinations southern suburbs Perth,Commercial,Medium,Service Page,Consideration,Geo + service
vet microchipping Moorhen Drive Yangebup,Commercial,Low,Service Page,Decision,Address line match
YB Vet reviews,Transactional,Low,Other,Decision,May point to Google review URL
