Keyword,Search Intent,Estimated Difficulty,Recommended Content Type,Stage,Notes
annual vet check dog cat,Informational,Low,Blog,Awareness,Core preventive message for YB Vet
how often should I take my dog to the vet,Informational,Low,Blog,Awareness,High volume pet owner question
how often should I take my cat to the vet,Informational,Low,Blog,Awareness,Pairs with dog version
what happens at a vet check up,Informational,Low,Blog,Awareness,Explain nose-to-tail exam
signs my dog needs to see a vet,Informational,Low,Blog,Awareness,Urgent vs routine framing
signs my cat needs to see a vet,Informational,Low,Blog,Awareness,Include hiding pain behaviour
puppy vaccination schedule Australia,Informational,Medium,Blog,Awareness,Align with current national guidance
kitten vaccination schedule Australia,Informational,Medium,Blog,Awareness,Same as puppy cluster
what is desexing for dogs and cats,Informational,Low,Blog,Awareness,Link to honest recovery expectations
dental disease in dogs symptoms,Informational,Low,Blog,Consideration,Gateway to dental service messaging
dental disease in cats symptoms,Informational,Low,Blog,Consideration,Often overlooked
how to prepare cat for vet visit,Informational,Low,Blog,Consideration,Carrier training Feliway etc
how to calm dog before vet appointment,Informational,Low,Blog,Consideration,Car habituation
pet insurance Australia is it worth it,Informational,Medium,Blog,Consideration,Neutral educational tone
microchipping dogs WA,Informational,Low,Blog,Awareness,Local compliance angle
heartworm prevention dogs Australia,Informational,Medium,Blog,Awareness,Parasite geography WA
fleas and ticks Perth pets,Informational,Low,Blog,Awareness,Seasonal Perth relevance
senior dog health checks what to expect,Informational,Low,Blog,Consideration,Ties to senior pet care
senior cat health when to worry,Informational,Low,Blog,Consideration,Kidney weight appetite
how to choose a vet in Perth southern suburbs,Informational,Medium,Blog,Consideration,Local independent angle
independent vet vs chain clinic Australia,Informational,Medium,Blog,Consideration,Opinion + honesty guardrails
vet near Yangebup,Commercial,Low,Service Page,Decision,Maps to clinic location page
vet near Beeliar,Commercial,Low,Service Page,Decision,Service area suburb
what to bring first puppy vet visit,Informational,Low,Blog,Consideration,Practical checklist
what to bring first kitten vet visit,Informational,Low,Blog,Consideration,Practical checklist
ear infection dog shaking head,Informational,Low,Blog,Adjacent,When to book vs wait
skin allergies dogs scratching,Informational,Medium,Blog,Adjacent,Dermatology adjacent
arthritis in older dogs signs,Informational,Low,Blog,Adjacent,Senior care adjacent
when is it an emergency for a pet,Informational,Low,Blog,Awareness,Clear triage to emergency vet
